,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
205,99.1,100.0,96.6,66.5,76.8,40.0,58.2,64.8,38.8,350,262,88,0.25,0.25
206,99.1,100.0,96.6,66.4,76.7,39.8,58.2,64.8,38.6,350,262,88,0.25,0.25
207,99.1,100.0,96.6,66.4,76.7,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
208,99.1,100.0,96.6,66.4,76.8,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
209,99.1,100.0,96.6,66.4,76.7,39.8,58.2,64.8,38.6,350,262,88,0.25,0.25
210,99.1,100.0,96.6,66.2,76.6,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
211,99.1,100.0,96.6,66.4,76.8,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
212,99.1,100.0,96.6,66.4,76.7,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
213,99.1,100.0,96.6,66.2,76.6,39.4,58.1,64.8,38.4,350,262,88,0.25,0.25
214,99.1,100.0,96.6,66.4,76.8,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
215,99.1,100.0,96.6,66.6,77.0,39.8,58.2,64.8,38.6,350,262,88,0.25,0.25
216,99.1,100.0,96.6,66.3,76.7,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
217,99.1,100.0,96.6,66.2,76.5,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
218,99.1,100.0,96.6,66.2,76.5,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
219,99.1,100.0,96.6,66.4,76.6,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
220,99.1,100.0,96.6,66.5,76.9,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
221,99.1,100.0,96.6,66.3,76.6,39.7,58.2,64.8,38.6,350,262,88,0.25,0.25
222,99.1,100.0,96.6,66.3,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
223,99.1,100.0,96.6,66.4,76.8,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
224,99.1,100.0,96.6,66.1,76.4,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
225,99.1,100.0,96.6,66.3,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
226,99.1,100.0,96.6,66.6,76.9,40.1,58.3,64.8,39.1,350,262,88,0.25,0.25
227,99.1,100.0,96.6,66.5,76.8,39.8,58.2,64.8,38.5,350,262,88,0.25,0.25
228,99.1,100.0,96.6,66.4,76.8,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
229,99.1,100.0,96.6,66.4,76.8,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
230,99.1,100.0,96.6,66.4,76.6,39.9,58.2,64.8,38.8,350,262,88,0.25,0.25
231,99.1,100.0,96.6,66.4,76.9,39.3,58.1,64.8,38.1,350,262,88,0.25,0.25
232,99.1,100.0,96.6,66.3,76.7,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
