,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
189,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
190,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
191,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
192,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
193,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
194,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
195,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
196,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
197,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
198,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
199,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
200,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
201,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
202,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
203,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
204,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
205,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
206,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
207,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
208,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
209,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
210,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
211,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
212,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
213,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
214,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
215,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
216,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
217,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
218,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
219,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
220,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
221,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
222,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
223,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
224,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
225,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
226,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
227,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
228,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
229,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
230,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
231,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
232,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
233,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
234,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
235,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
236,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
237,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
238,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
239,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
240,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
241,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
242,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
243,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
244,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
245,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
246,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
247,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
248,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
249,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
250,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
251,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
252,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
253,100.0,100.0,100.0,67.5,77.5,41.5,59.4,65.7,40.3,350,262,88,0.25,0.25
